date_gmt,time_period,latitude,longitude
28/08/2011,evening,-26.13,5.672
29/08/2011,day,-28.776,6.038
29/08/2011,evening,-28.248,7.602
30/08/2011,day,-26.932,8.614
30/08/2011,evening,-26.972,8.85
31/08/2011,day,-27.608,8.636
31/08/2011,evening,-27.424,8.25
1/09/2011,day,-29.104,8.382
1/09/2011,evening,-27.838,9.394
2/09/2011,day,-25.6074,9.2
2/09/2011,evening,-28.3686,8.362
3/09/2011,day,-29.934,7.598
3/09/2011,evening,-28.4794,7.458
4/09/2011,day,-30.2966,7.59
4/09/2011,evening,-29.99,7.124
5/09/2011,day,-34.198,7.058
5/09/2011,evening,-33.416,7.038
6/09/2011,day,-34.694,7.348
6/09/2011,evening,-35.224,6.784
7/09/2011,day,-35.702,7.188
7/09/2011,evening,-36.036,9.198
8/09/2011,day,-35.232,9.528
8/09/2011,evening,-33.12,10.836
9/09/2011,day,-33.456,11.866
9/09/2011,evening,-34.51567,12.522
10/09/2011,day,-31.42333,12.628
10/09/2011,evening,-32.701,12.062
11/09/2011,day,-32.22207,12.518
11/09/2011,evening,-31.74313,12.998
12/09/2011,day,-31.2642,13.106
12/09/2011,evening,-30.78727,13.11
13/09/2011,day,-30.30833,12.844
13/09/2011,evening,-29.4564,14.324
14/09/2011,day,-29.0298,15.306
14/09/2011,evening,-28.5152,16.71
15/09/2011,day,-28.0846,17.288
15/09/2011,evening,-29.236,17.52
16/09/2011,day,-30.58908,17.826
16/09/2011,evening,-30.30375,17.704
17/09/2011,day,-30.07363,18.162
17/09/2011,evening,-30.0015,21.016
18/09/2011,day,-29.28938,23.324
18/09/2011,evening,-29.00725,24.78
19/09/2011,day,-28.68913,26.06
19/09/2011,evening,-28.885,26.794
20/09/2011,day,-28.83008,26.95
20/09/2011,evening,-28.77315,28.402
21/09/2011,day,-29.57623,29.158
21/09/2011,evening,-29.5193,29.514
22/09/2011,day,-29.31838,28.996
22/09/2011,evening,-29.26145,29.176
23/09/2011,day,-29.394,29.656
23/09/2011,evening,-30.75083,29.888
24/09/2011,day,-29.73367,29.668
24/09/2011,evening,-29.3085,30.552
25/09/2011,day,-29.362,32.21
25/09/2011,evening,-29.0535,34.266
26/09/2011,day,-28.943,36.022
26/09/2011,evening,-28.8725,36.804
27/09/2011,day,-28.16,37.89
27/09/2011,evening,-27.6675,39.894
28/09/2011,day,-27.21233,40.106
28/09/2011,evening,-28.94917,40.61
29/09/2011,day,-29.174,42.046
29/09/2011,evening,-30.76,44.354
30/09/2011,day,-31.014,45.688
30/09/2011,evening,-31.73,46.896
1/10/2011,day,-30.904,48.184
1/10/2011,evening,-27.338,49.318
2/10/2011,day,-28.146,50.328
2/10/2011,evening,-27.296,51.438
3/10/2011,day,-27.956,51.4
3/10/2011,evening,-26.68,52.81
4/10/2011,day,-25.476,54.598
4/10/2011,evening,-26.476,56.146
5/10/2011,day,-29.144,56.444
5/10/2011,evening,-28.394,56.808
6/10/2011,day,-28.468,56.52
6/10/2011,evening,-32.79,57.734
7/10/2011,day,-32.244,58.724
7/10/2011,evening,-29.432,59.062
8/10/2011,day,-29.27,59.15
8/10/2011,evening,-30.4,59.442
9/10/2011,day,-30.714,59.258
9/10/2011,evening,-33.054,60.062
10/10/2011,day,-31.016,61.332
10/10/2011,evening,-30.624,62.63
11/10/2011,day,-30.758,63.75
11/10/2011,evening,-28.582,64.214
12/10/2011,day,-28.25,64.508
12/10/2011,evening,-29.86,65.526
13/10/2011,day,-29.774,66.716
13/10/2011,evening,-29.39,87.365
14/10/2011,day,-30.735,58.08333333
14/10/2011,evening,-32.448,72.868
15/10/2011,day,-34.144,73.456
15/10/2011,evening,-33.735,93.55
16/10/2011,day,-35.45667,60.74166667
16/10/2011,evening,-35.3025,94.15
17/10/2011,day,-36.76667,61.395
17/10/2011,evening,-34.502,74.874
18/10/2011,day,-34.158,74.672
18/10/2011,evening,-36.654,76.196
19/10/2011,day,-35.776,78.524
19/10/2011,evening,-33.756,79.434
20/10/2011,day,-33.572,80.086
20/10/2011,evening,-33.078,80.614
21/10/2011,day,-33.374,80.686
21/10/2011,evening,-33.272,81.214
22/10/2011,day,-33.902,81.222
22/10/2011,evening,-36.436,83.004
23/10/2011,day,-36.712,83.934
23/10/2011,evening,-35.848,84.57
24/10/2011,day,-35.852,85.124
24/10/2011,evening,-36.292,86.108
25/10/2011,day,-36.472,86.792
25/10/2011,evening,-35.876,87.502
26/10/2011,day,-35.956,87.738
26/10/2011,evening,-36.11,88.204
27/10/2011,day,-35.574,88.612
27/10/2011,evening,-34.778,88.754
